tree_anzsic_2006,tree_isic_4,comment,prefixed_id,skos_uri
1113,1075,many-to-many correspondence,e334f85d-2a4b-41ab-8e97-dd97b9211236,http://www.w3.org/2004/02/skos/core#relatedMatch
1120,0311,many-to-many correspondence,3d78a803-c7e6-43b9-8823-254d4715f301,http://www.w3.org/2004/02/skos/core#relatedMatch
1120,1020,one-to-many correspondence,aa56aedd-3054-4e31-a0ac-28c47e397ad6,http://www.w3.org/2004/02/skos/core#narrowMatch
1120,1075,many-to-many correspondence,3aa3c7b7-7a8a-4d72-a04f-f872c02f3f08,http://www.w3.org/2004/02/skos/core#relatedMatch
1131,1050,many-to-one correspondence,f984b5a7-a2f0-48ca-ab7e-0dd7750f0330,http://www.w3.org/2004/02/skos/core#broadMatch
1132,1050,many-to-one correspondence,a6390eda-192c-4fcb-9b31-4fc9df30e368,http://www.w3.org/2004/02/skos/core#broadMatch
1133,1050,many-to-many correspondence,d41f9d0f-c2ce-49dd-afc9-c4fadb388d37,http://www.w3.org/2004/02/skos/core#relatedMatch
1133,1079,many-to-many correspondence,7a3a9e85-bce7-4d11-93fa-a391d5a49a49,http://www.w3.org/2004/02/skos/core#relatedMatch
1140,1030,many-to-many correspondence,8ba20e0a-28b5-4a07-947c-3054dd56d14a,http://www.w3.org/2004/02/skos/core#relatedMatch
1140,1075,many-to-many correspondence,8ee156fa-16cf-4116-b542-84e73ef8d3a0,http://www.w3.org/2004/02/skos/core#relatedMatch
1140,1079,many-to-many correspondence,d2803879-ebad-4f37-9e4b-626f2b6be9f2,http://www.w3.org/2004/02/skos/core#relatedMatch
1150,1040,one-to-many correspondence,b0f9c145-26c6-4451-9197-9f9ce7b49d31,http://www.w3.org/2004/02/skos/core#narrowMatch
1150,1062,many-to-many correspondence,c60c2c02-8967-4e19-9a1b-1a198db7f21e,http://www.w3.org/2004/02/skos/core#relatedMatch
1150,1073,many-to-many correspondence,55724118-0617-4c4c-a53b-9c866fcf045a,http://www.w3.org/2004/02/skos/core#relatedMatch
1161,1061,many-to-many correspondence,3ec4a988-cab2-4722-b5aa-275b5136d6e2,http://www.w3.org/2004/02/skos/core#relatedMatch
1161,1062,many-to-many correspondence,cff84326-99b9-44f2-8c1e-9fd1594c96c0,http://www.w3.org/2004/02/skos/core#relatedMatch
1161,1075,many-to-many correspondence,3b530a71-f4e2-4b59-9790-e24151756a27,http://www.w3.org/2004/02/skos/core#relatedMatch
1161,1079,many-to-many correspondence,3fb3d6d3-b68d-46ad-85e9-b1b9af10926b,http://www.w3.org/2004/02/skos/core#relatedMatch
1161,1103,many-to-many correspondence,8653be7b-4091-4a0a-b58a-34465aa3f061,http://www.w3.org/2004/02/skos/core#relatedMatch
1162,1061,many-to-many correspondence,0f175e9c-fc62-42a5-b1c8-a5def4df37e4,http://www.w3.org/2004/02/skos/core#relatedMatch
1162,1074,one-to-many correspondence,52beab47-d346-46cc-989b-1a8cf0ea80f1,http://www.w3.org/2004/02/skos/core#narrowMatch
1171,1061,many-to-many correspondence,7879be36-98ad-4c45-aae0-a077404aa246,http://www.w3.org/2004/02/skos/core#relatedMatch
1171,1071,many-to-many correspondence,bac7e308-a8e0-4541-b83e-c2cfbfc0514a,http://www.w3.org/2004/02/skos/core#relatedMatch
1172,1071,many-to-one correspondence,d7b605d9-f346-4d94-a46f-d782b82140ce,http://www.w3.org/2004/02/skos/core#broadMatch
1173,1071,many-to-one correspondence,bb1e3af4-2cbb-4b7f-afa4-68265e454b9d,http://www.w3.org/2004/02/skos/core#broadMatch
1174,1071,many-to-one correspondence,fd0e1a88-5e0b-4bb2-ac4b-276f8dfca4ba,http://www.w3.org/2004/02/skos/core#broadMatch
1181,1072,one-to-one correspondence,17743dcc-d906-4407-8538-1247fb977eac,http://www.w3.org/2004/02/skos/core#exactMatch
1182,1073,many-to-one correspondence,ae1d2b1a-d0da-410f-b08b-8093485ea945,http://www.w3.org/2004/02/skos/core#broadMatch
1191,1030,many-to-many correspondence,d26ed801-8140-4ff4-b641-a74304021d6e,http://www.w3.org/2004/02/skos/core#relatedMatch
1191,1071,many-to-many correspondence,6f44ef88-c4bb-4d05-95dd-261ad9f8ec9e,http://www.w3.org/2004/02/skos/core#relatedMatch
1191,1079,many-to-many correspondence,ec952b6d-4f50-440a-9b62-07df1e221eb7,http://www.w3.org/2004/02/skos/core#relatedMatch
1192,1080,one-to-one correspondence,3f79bbcf-504f-449e-8b99-d42138e9da58,http://www.w3.org/2004/02/skos/core#exactMatch
1199,1030,many-to-many correspondence,a0e7d75d-e1f6-4b43-9b4d-a946c6fc0648,http://www.w3.org/2004/02/skos/core#relatedMatch
1199,1071,many-to-many correspondence,b44e99ee-61b5-4ec0-9030-c5e7532e3a3c,http://www.w3.org/2004/02/skos/core#relatedMatch
1199,1075,many-to-many correspondence,02394f71-027b-45b5-b452-eeb3b63f2684,http://www.w3.org/2004/02/skos/core#relatedMatch
1199,1079,many-to-many correspondence,b5abda3b-eb4b-4be6-8b43-d32fed5c47f5,http://www.w3.org/2004/02/skos/core#relatedMatch
1211,1030,many-to-many correspondence,7f57b5b6-d674-417a-922e-4a4d1991522b,http://www.w3.org/2004/02/skos/core#relatedMatch
1211,1079,many-to-many correspondence,870cebeb-cbb0-4a63-b5f9-42cb373ab554,http://www.w3.org/2004/02/skos/core#relatedMatch
1211,1102,many-to-many correspondence,e535fb4a-f845-4624-813e-1c1604b5505e,http://www.w3.org/2004/02/skos/core#relatedMatch
1211,1104,one-to-many correspondence,0a07c36b-f669-4b1c-ad39-576aa684d6e9,http://www.w3.org/2004/02/skos/core#narrowMatch
1212,1103,many-to-one correspondence,5cb39370-2b5c-45e0-b461-c43db1604ac0,http://www.w3.org/2004/02/skos/core#broadMatch
1213,1101,one-to-one correspondence,05cc4c71-7b79-47ec-bd29-8be9e1b6acd9,http://www.w3.org/2004/02/skos/core#exactMatch
1214,1079,many-to-many correspondence,84600d81-563a-4751-a272-15067e0eeb68,http://www.w3.org/2004/02/skos/core#relatedMatch
1214,1102,many-to-many correspondence,312b78bc-edff-41ab-911e-0692f2fb436c,http://www.w3.org/2004/02/skos/core#relatedMatch
1220,1200,one-to-one correspondence,74af5b1e-46db-482f-8790-6c850fc6a43c,http://www.w3.org/2004/02/skos/core#exactMatch
1311,1311,many-to-many correspondence,97b321c4-c3dc-4e46-be92-5a152b949252,http://www.w3.org/2004/02/skos/core#relatedMatch
1311,2023,many-to-many correspondence,0edadc28-420d-4e91-8d70-789abcc507b0,http://www.w3.org/2004/02/skos/core#relatedMatch
1312,1311,many-to-many correspondence,cfb0460f-4d2e-420e-addc-b8034dd5d003,http://www.w3.org/2004/02/skos/core#relatedMatch
1312,1312,many-to-many correspondence,aa8d53bf-8e4b-445a-a1a1-51a928013da2,http://www.w3.org/2004/02/skos/core#relatedMatch
1313,1311,many-to-many correspondence,080d5a90-3410-4dba-80a8-7663d2c304f2,http://www.w3.org/2004/02/skos/core#relatedMatch
1313,1312,many-to-many correspondence,349d5f09-da6b-4174-bb1e-56342a46fbd0,http://www.w3.org/2004/02/skos/core#relatedMatch
1313,1399,many-to-many correspondence,c782bfc1-b57b-4956-9582-3e1888791a5b,http://www.w3.org/2004/02/skos/core#relatedMatch
1320,1420,many-to-many correspondence,0245e193-091d-4b5b-a396-58e5f34c5865,http://www.w3.org/2004/02/skos/core#relatedMatch
1320,1511,one-to-many correspondence,723d9293-f3f5-47d4-8bbd-4f378fbe683a,http://www.w3.org/2004/02/skos/core#narrowMatch
1320,1512,one-to-many correspondence,af14850f-e0f9-4f44-b5f8-88d25ca5aede,http://www.w3.org/2004/02/skos/core#narrowMatch
1320,3092,many-to-many correspondence,88a4d75d-7294-4ee4-82ea-77b887c2845d,http://www.w3.org/2004/02/skos/core#relatedMatch
1320,3290,many-to-many correspondence,5cb44cd6-7f84-475e-9e37-c45395e005b1,http://www.w3.org/2004/02/skos/core#relatedMatch
1331,1393,one-to-one correspondence,d6210da3-a86b-4cd0-a40e-172de4267212,http://www.w3.org/2004/02/skos/core#exactMatch
1332,1394,one-to-one correspondence,8e5e873d-4039-492b-90dc-e275733ce1b0,http://www.w3.org/2004/02/skos/core#exactMatch
1333,1392,many-to-many correspondence,79b649e1-fda1-4fb8-a0aa-e901c1b49b30,http://www.w3.org/2004/02/skos/core#relatedMatch
1333,1399,many-to-many correspondence,13c5ca52-51fb-4c96-b4ed-6f086a4d484c,http://www.w3.org/2004/02/skos/core#relatedMatch
1334,1313,many-to-many correspondence,b787f5fa-f61a-43f6-b219-fb68087aec3f,http://www.w3.org/2004/02/skos/core#relatedMatch
1334,1392,many-to-many correspondence,2d6ef194-5fbc-45e9-8dfc-7804045a678e,http://www.w3.org/2004/02/skos/core#relatedMatch
1334,1399,many-to-many correspondence,410bab04-c729-4237-9cf2-79157590177f,http://www.w3.org/2004/02/skos/core#relatedMatch
1334,1709,many-to-many correspondence,f0f3f001-95e0-462e-83bc-3c14e7fb73b6,http://www.w3.org/2004/02/skos/core#relatedMatch
1334,2100,many-to-many correspondence,df9ab38a-5c75-4f6e-a292-1d573d9e46f4,http://www.w3.org/2004/02/skos/core#relatedMatch
1340,1391,one-to-many correspondence,bc83638d-3373-4386-910d-57d852193b06,http://www.w3.org/2004/02/skos/core#narrowMatch
1340,1392,many-to-many correspondence,cc632d76-145e-4837-9106-417566549d2e,http://www.w3.org/2004/02/skos/core#relatedMatch
1340,1410,many-to-many correspondence,98dbc685-5eee-4458-8a4b-e923ac18b02f,http://www.w3.org/2004/02/skos/core#relatedMatch
1340,1430,one-to-many correspondence,93b5f6ff-648b-48b9-9a76-dd9e19c7e5fa,http://www.w3.org/2004/02/skos/core#narrowMatch
1351,1399,many-to-many correspondence,f3f10f28-51ea-424a-9185-30341bc9a5eb,http://www.w3.org/2004/02/skos/core#relatedMatch
1351,1410,many-to-many correspondence,cfe8700e-3368-456e-a7d6-b6c15e656157,http://www.w3.org/2004/02/skos/core#relatedMatch
1351,1420,many-to-many correspondence,c2a1c7f5-2e77-458f-9409-2c16287e48e9,http://www.w3.org/2004/02/skos/core#relatedMatch
1351,2219,many-to-many correspondence,38450258-7c7b-4cb9-a196-d469243e5e44,http://www.w3.org/2004/02/skos/core#relatedMatch
1351,2220,many-to-many correspondence,f7d9f584-646d-4c9e-9a2b-3e5eec8107aa,http://www.w3.org/2004/02/skos/core#relatedMatch
1351,3230,many-to-many correspondence,1dbddcc9-8e39-474e-a62f-4c95493f0655,http://www.w3.org/2004/02/skos/core#relatedMatch
1351,3290,many-to-many correspondence,df6ad468-7d7b-4d88-bd4f-9854d11eca39,http://www.w3.org/2004/02/skos/core#relatedMatch
1352,1520,one-to-many correspondence,ecac8ce4-d65a-4284-87da-a7866f9fc8a3,http://www.w3.org/2004/02/skos/core#narrowMatch
1352,1629,many-to-many correspondence,36908d50-17dd-4d4a-9b05-ddaddc54f589,http://www.w3.org/2004/02/skos/core#relatedMatch
1352,2219,many-to-many correspondence,29df2133-4800-4a9a-b72a-1c45cd961c2c,http://www.w3.org/2004/02/skos/core#relatedMatch
1352,2220,many-to-many correspondence,3d1c0e45-0639-4a97-a45e-e2068ed0fdea,http://www.w3.org/2004/02/skos/core#relatedMatch
1352,3230,many-to-many correspondence,42bd9d02-fafd-4bc3-a458-099e3e6b64dc,http://www.w3.org/2004/02/skos/core#relatedMatch
1411,1610,many-to-one correspondence,68b12593-5668-4542-afbe-522d3f6e026b,http://www.w3.org/2004/02/skos/core#broadMatch
